label,text
ham,Halo apa kabar?
ham,Besok kita kuliah ya.
ham,Ada tugas baru dari dosen.
ham,Sudah makan?
ham,Nanti saya antar filenya.
ham,Saya sedang di perpustakaan, nanti ketemu jam 3.
ham,Jangan lupa bawa buku catatan besok.
ham,Saya akan datang lebih awal besok.
ham,Ada yang ingin ikut makan siang bersama?
ham,Bisakah kamu mengirimkan tugas itu lewat email?
ham,Saya ada janji dengan dokter sore ini.
ham,Sampai jumpa di kampus nanti.
ham,Saya perlu waktu untuk menyelesaikan laporan.
ham,Apa rencanamu akhir pekan ini?
ham,Saya akan mengikuti rapat online pukul 10.
ham,Saya akan pergi ke perpustakaan sebentar.
ham,Jangan lupa minum air putih.
ham,Kapan kita bertemu lagi?
ham,Tolong kirimkan catatan kuliah.
ham,Saya sedang di kantor, hubungi nanti.
ham,Bisakah kita diskusi tugas sekarang?
ham,Saya sudah menyelesaikan laporan itu.
ham,Ada rapat jam 3 sore ini.
ham,Hati-hati di jalan ya.
ham,Saya sedang menunggu di lobi.
ham,Kamu sudah makan siang?
ham,Saya akan ke kantin sebentar.
ham,Tolong ingatkan saya untuk presentasi besok.
ham,Saya membawa dokumen yang diminta.
ham,Bisakah kita rapat online nanti?
ham,Saya akan membantu mengerjakan tugas itu.
ham,Apakah kamu sudah selesai dengan proyek itu?
ham,Saya sedang membaca buku catatan.
ham,Saya akan meminjam laptop sebentar.
ham,Jangan lupa bawa flashdisk besok.
ham,Saya sedang menunggu di ruang kelas.
ham,Saya akan pergi ke perpustakaan jam 2.
ham,Kita bertemu di kafetaria saja.
ham,Saya sudah mengirim email ke dosen.
ham,Saya membawa materi presentasi.
ham,Tolong cek jadwal kuliah besok.
ham,Saya akan mengerjakan laporan malam ini.
ham,Bisakah kamu mengirimkan file itu sekarang?
ham,Saya sedang menulis catatan tugas.
ham,Kita bisa diskusi online nanti.
ham,Saya sudah mencatat semua tugas.
ham,Bisakah kita bertemu sebelum kuliah?
ham,Saya akan menyiapkan bahan rapat.

spam,Selamat! Anda memenangkan hadiah. Klik link ini.
spam,Anda mendapatkan kupon gratis. Balas untuk klaim.
spam,PIN ATM anda terblokir. Kirimkan data anda untuk aktivasi ulang.
spam,Ada paket masuk. Klik untuk konfirmasi.
spam,Cepat klaim hadiah anda sekarang sebelum habis!
spam,Anda terpilih sebagai pemenang undian mingguan.
spam,Transfer 1 juta sekarang untuk verifikasi akun.
spam,Klik link ini untuk memperbarui informasi akun anda.
spam,Promo spesial! Dapatkan voucher belanja gratis.
spam,Peringatan! Akun anda akan ditangguhkan jika tidak diaktifkan.
spam,Selamat! Akun anda memenangkan cashback 100 ribu.
spam,Dapatkan paket hadiah menarik hanya dengan klik link ini.
spam,Klaim saldo gratis anda sekarang juga!
spam,Konfirmasi pembayaran anda gagal. Klik untuk memperbarui.
spam,Penawaran terbatas! Voucher gratis menanti anda.
spam,Segera klaim hadiah anda sebelum habis!
spam,Akun anda terancam diblokir, klik link verifikasi.
spam,Gratis kupon belanja untuk anda. Balas sekarang!
spam,Klik link ini untuk memperbarui info akun anda.
spam,Paket hadiah menanti anda, klik untuk klaim.
spam,Hadiah ulang tahun spesial menunggu anda.
spam,Transfer untuk aktivasi akun sekarang!
spam,Peringatan! Akun anda membutuhkan verifikasi segera.
spam,Selamat! Anda mendapatkan voucher belanja.
spam,Akun bank anda membutuhkan update segera.
spam,Gratis saldo 50 ribu menanti anda, klik link.
spam,Klaim hadiah anda sebelum batas waktu habis.
spam,Segera perbarui akun anda untuk menghindari blokir.
spam,Hadiah uang tunai menanti, klik sekarang.
spam,Promosi spesial! Voucher gratis untuk anda.
spam,Klik link ini untuk menang undian mingguan.
spam,Penawaran terbatas! Dapatkan hadiah sekarang.
spam,Akun anda membutuhkan verifikasi data.
spam,Segera klaim bonus belanja gratis.
spam,Hadiah eksklusif menunggu anda, klik sekarang.
spam,Paket hadiah gratis menanti untuk anda.
spam,Saldo bonus gratis 100 ribu menanti, klik.
spam,Klaim voucher belanja anda sebelum habis.
spam,Transfer segera untuk klaim hadiah.
spam,Paket hadiah baru untuk anda, klik untuk klaim.
spam,Segera update akun anda untuk bonus.
spam,Hadiah spesial menanti di link ini.
spam,Gratis voucher belanja menanti anda sekarang.
spam,Klaim saldo gratis anda sebelum kadaluarsa.
spam,Promosi eksklusif! Dapatkan hadiah anda.
spam,Segera konfirmasi pembayaran untuk bonus.
spam,Paket hadiah gratis menanti, klik sekarang.
spam,Klik link ini untuk menerima hadiah eksklusif.
spam,Transfer cepat untuk klaim hadiah uang tunai.
spam,Segera klaim voucher belanja spesial anda.
